codigo,descricao_oficial,vertical_id,vertical,sub_vertical,sinonimos,tags,secao,divisao,grupo,classe
0500-3/02,Beneficiamento de carvão mineral,EXT,Mineração e Extração,Extração de Carvão Mineral,beneficiamento de carvão mineral,"Extrativa, B2B",B,05,05.0,05.00-3
0600-0/01,Extração de petróleo e gás natural,EXT,Mineração e Extração,Extração de Petróleo e Gás,extração de petróleo e gás natural,"Extrativa, B2B",B,06,06.0,06.00-0
0600-0/02,Extração e beneficiamento de xisto,EXT,Mineração e Extração,Extração de Petróleo e Gás,extração e beneficiamento de xisto,"Extrativa, B2B",B,06,06.0,06.00-0
0600-0/03,Extração e beneficiamento de areias betuminosas,EXT,Mineração e Extração,Extração de Petróleo e Gás,extração e beneficiamento de areias betuminosas,"Extrativa, B2B",B,06,06.0,06.00-0
0710-3/01,Extração de minério de ferro,EXT,Mineração e Extração,Extração de Minerais Metálicos,extração de minério de ferro,"Extrativa, B2B",B,07,07.1,07.10-3
0710-3/02,"Pelotização, sinterização e outros beneficiamentos de minério de ferro",EXT,Mineração e Extração,Extração de Minerais Metálicos,"pelotização, sinterização e outros beneficiamentos de minério de ferro","Extrativa, B2B",B,07,07.1,07.10-3
0721-9/01,Extração de minério de alumínio,EXT,Mineração e Extração,Extração de Minerais Metálicos,extração de minério de alumínio,"Extrativa, B2B",B,07,07.2,07.21-9
0721-9/02,Beneficiamento de minério de alumínio,EXT,Mineração e Extração,Extração de Minerais Metálicos,beneficiamento de minério de alumínio,"Extrativa, B2B",B,07,07.2,07.21-9
0722-7/01,Extração de minério de estanho,EXT,Mineração e Extração,Extração de Minerais Metálicos,extração de minério de estanho,"Extrativa, B2B",B,07,07.2,07.22-7
0722-7/02,Beneficiamento de minério de estanho,EXT,Mineração e Extração,Extração de Minerais Metálicos,beneficiamento de minério de estanho,"Extrativa, B2B",B,07,07.2,07.22-7
0723-5/01,Extração de minério de manganês,EXT,Mineração e Extração,Extração de Minerais Metálicos,extração de minério de manganês,"Extrativa, B2B",B,07,07.2,07.23-5
0723-5/02,Beneficiamento de minério de manganês,EXT,Mineração e Extração,Extração de Minerais Metálicos,beneficiamento de minério de manganês,"Extrativa, B2B",B,07,07.2,07.23-5
0724-3/01,Extração de minério de metais preciosos,EXT,Mineração e Extração,Extração de Minerais Metálicos,extração de minério de metais preciosos,"Extrativa, B2B",B,07,07.2,07.24-3
0724-3/02,Beneficiamento de minério de metais preciosos,EXT,Mineração e Extração,Extração de Minerais Metálicos,beneficiamento de minério de metais preciosos,"Extrativa, B2B",B,07,07.2,07.24-3
0725-1/00,Extração de minerais radioativos,EXT,Mineração e Extração,Extração de Minerais Metálicos,extração de minerais radioativos,"Extrativa, B2B",B,07,07.2,07.25-1
0729-4/01,Extração de minérios de nióbio e titânio,EXT,Mineração e Extração,Extração de Minerais Metálicos,extração de minérios de nióbio e titânio,"Extrativa, B2B",B,07,07.2,07.29-4
0729-4/02,Extração de minério de tungstênio,EXT,Mineração e Extração,Extração de Minerais Metálicos,extração de minério de tungstênio,"Extrativa, B2B",B,07,07.2,07.29-4
0729-4/03,Extração de minério de níquel,EXT,Mineração e Extração,Extração de Minerais Metálicos,extração de minério de níquel,"Extrativa, B2B",B,07,07.2,07.29-4
0729-4/04,"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",EXT,Mineração e Extração,Extração de Minerais Metálicos,"extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos","Extrativa, B2B",B,07,07.2,07.29-4
0729-4/05,"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",EXT,Mineração e Extração,Extração de Minerais Metálicos,"beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos","Extrativa, B2B",B,07,07.2,07.29-4
0810-0/01,Extração de ardósia e beneficiamento associado,EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,extração de ardósia e beneficiamento associado,"Extrativa, B2B",B,08,08.1,08.10-0
0810-0/02,Extração de granito e beneficiamento associado,EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,extração de granito e beneficiamento associado,"Extrativa, B2B",B,08,08.1,08.10-0
0810-0/03,Extração de mármore e beneficiamento associado,EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,extração de mármore e beneficiamento associado,"Extrativa, B2B",B,08,08.1,08.10-0
0810-0/04,Extração de calcário e dolomita e beneficiamento associado,EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,extração de calcário e dolomita e beneficiamento associado,"Extrativa, B2B",B,08,08.1,08.10-0
0810-0/05,Extração de gesso e caulim,EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,extração de gesso e caulim,"Extrativa, B2B",B,08,08.1,08.10-0
0810-0/06,"Extração de areia, cascalho ou pedregulho e beneficiamento associado",EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,"extração de areia, cascalho ou pedregulho e beneficiamento associado","Extrativa, B2B",B,08,08.1,08.10-0
0810-0/07,Extração de argila e beneficiamento associado,EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,extração de argila e beneficiamento associado,"Extrativa, B2B",B,08,08.1,08.10-0
0810-0/08,Extração de saibro e beneficiamento associado,EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,extração de saibro e beneficiamento associado,"Extrativa, B2B",B,08,08.1,08.10-0
0810-0/09,Extração de basalto e beneficiamento associado,EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,extração de basalto e beneficiamento associado,"Extrativa, B2B",B,08,08.1,08.10-0
0810-0/10,Beneficiamento de gesso e caulim associado à extração,EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,beneficiamento de gesso e caulim associado à extração,"Extrativa, B2B",B,08,08.1,08.10-0
0810-0/99,Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,extração e britamento de pedras e outros materiais para construção e beneficiamento associado,"Extrativa, B2B",B,08,08.1,08.10-0
0891-6/00,"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,"extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos","Extrativa, B2B",B,08,08.9,08.91-6
0892-4/01,Extração de sal marinho,EXT,Mineração e Extração,Extração de Minerais Não-Metálicos,extração de sal marinho,"Extrativa, B2B",B,08,08.9,08.92-4
