Mapeamento Completo — 1.331 subclasses CNAE 2.3;;;;
;;;;
Subclasse CNAE;Descrição Oficial;Vertical;;
1532-7/00;Fabricação de tênis de qualquer material;Moda, Têxtil e Calçados;;
1533-5/00;Fabricação de calçados de material sintético;Moda, Têxtil e Calçados;;
1539-4/00;"Fabricação de calçados de materiais não especificados
anteriormente";Moda, Têxtil e Calçados;;
1540-8/00;Fabricação de partes para calçados, de qualquer material;Moda, Têxtil e Calçados;;
1610-2/03;Serrarias com desdobramento de madeira em bruto;Indústria e Manufatura;;
1610-2/04;Serrarias sem desdobramento de madeira em bruto - Resseragem;Indústria e Manufatura;;
1610-2/05;Serviço de tratamento de madeira realizado sob contrato;Indústria e Manufatura;;
1621-8/00;Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada;Indústria e Manufatura;;
1622-6/01;Fabricação de casas de madeira pré-fabricadas;Indústria e Manufatura;;
1622-6/02;Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais;Indústria e Manufatura;;
1622-6/99;Fabricação de outros artigos de carpintaria para construção;Indústria e Manufatura;;
1623-4/00;Fabricação de artefatos de tanoaria e de embalagens de madeira;Indústria e Manufatura;;
1629-3/01;Fabricação de artefatos diversos de madeira, exceto móveis;Indústria e Manufatura;;
1629-3/02;Fabricação de artefatos diversos de cortiça, bambu, palha, vime e outros materiais trançados, exceto móveis;Indústria e Manufatura;;
1710-9/00;Fabricação de celulose e outras pastas para a fabricação de papel;Indústria e Manufatura;;
1721-4/00;Fabricação de papel;Indústria e Manufatura;;
1722-2/00;Fabricação de cartolina e papel-cartão;Indústria e Manufatura;;
1731-1/00;Fabricação de embalagens de papel;Indústria e Manufatura;;
1732-0/00;Fabricação de embalagens de cartolina e papel-cartão;Indústria e Manufatura;;
1733-8/00;Fabricação de chapas e de embalagens de papelão ondulado;Indústria e Manufatura;;
1741-9/01;Fabricação de formulários contínuos;Indústria e Manufatura;;
1741-9/02;Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório;Indústria e Manufatura;;
